2020-01-11 22:08:00.684292:HostEvent:Associate, Task: 356778, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 18289, Type: CPU, cores: 8, Mem: 265, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 5, : 
2020-01-11 22:08:00.685293:HostEvent:Associate, Task: 163032, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: GBR, Host: 28657, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 1, : 
2020-01-11 22:08:00.686291:HostEvent:Associate, Task: 800581, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: AUS, Host: 11395, Type: BAT, cores: 2, Mem: 16, Mem Util %: 0, Comp: 2, Comp Util %: 0, Num Tasks: 1, : 
2020-01-11 22:08:00.687291:HostEvent:Associate, Task: 107175, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 97080, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 3, : 
2020-01-11 22:08:00.688290:HostEvent:Associate, Task: 398382, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 03905, Type: BAT, cores: 1, Mem: 16, Mem Util %: 0, Comp: 1, Comp Util %: 0, Num Tasks: 1, : 
2020-01-11 22:08:00.689293:HostEvent:Associate, Task: 376417, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: ISL, Host: 55302, Type: GPU, cores: 8, Mem: 32, Mem Util %: 0, Comp: 8, Comp Util %: 0, Num Tasks: 1, : 
2020-01-11 22:08:00.690290:HostEvent:Associate, Task: 360663, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 97196, Type: GPU, cores: 16, Mem: 32, Mem Util %: 0, Comp: 16, Comp Util %: 0, Num Tasks: 2, : 
2020-01-11 22:08:00.692289:HostEvent:Associate, Task: 277370, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 97196, Type: GPU, cores: 16, Mem: 32, Mem Util %: 0, Comp: 16, Comp Util %: 0, Num Tasks: 3, : 
2020-01-11 22:08:00.693270:HostEvent:Associate, Task: 045561, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: AUS, Host: 11395, Type: BAT, cores: 2, Mem: 16, Mem Util %: 0, Comp: 2, Comp Util %: 0, Num Tasks: 2, : 
2020-01-11 22:08:00.694291:HostEvent:Associate, Task: 481741, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: AUS, Host: 11395, Type: BAT, cores: 2, Mem: 16, Mem Util %: 0, Comp: 2, Comp Util %: 0, Num Tasks: 3, : 
2020-01-11 22:08:00.695301:HostEvent:Associate, Task: 130889, Profile: Saw, Pref Core: GPU, Load Factor: 7, Curr Mem: 0, Run Time: 19.0, Deficit: 0.0000, Cost: 0.0000, Time Left: 19.0, DC: USA, Host: 03905, Type: BAT, cores: 1, Mem: 16, Mem Util %: 0, Comp: 1, Comp Util %: 0, Num Tasks: 2, : 
